STNAME,TOTAL_POP,TOTAL_POP_100K,Deaths,Date
District of Columbia,705749,7.05749,50,2020-04-11
Maryland,2312087,23.12087,110,2020-04-11
Virginia,2524874,25.24874,43,2020-04-11
District of Columbia,705749,7.05749,47,2020-04-10
Maryland,2312087,23.12087,98,2020-04-10
Virginia,2524874,25.24874,42,2020-04-10
District of Columbia,705749,7.05749,38,2020-04-09
Maryland,2312087,23.12087,86,2020-04-09
Virginia,2524874,25.24874,40,2020-04-09
