Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
5/5/2020,Lenowisco,Missing,0,0,0
5/5/2020,Fairfax,30-39,911,73,2
5/5/2020,Lenowisco,60-69,7,5,1
5/5/2020,Loudoun,30-39,140,8,0
5/5/2020,West Piedmont,80+,3,1,0
5/5/2020,Roanoke,80+,33,2,0
5/5/2020,Fairfax,40-49,965,117,3
5/5/2020,Thomas Jefferson,80+,55,19,9
5/5/2020,Roanoke,20-29,9,0,0
5/5/2020,Henrico,60-69,140,22,17
5/5/2020,Lord Fairfax,40-49,80,2,0
5/5/2020,Western Tidewater,Missing,0,0,0
5/5/2020,Chickahominy,60-69,36,11,2
5/5/2020,Chesapeake,20-29,29,3,0
5/5/2020,Three Rivers,Missing,0,0,0
5/5/2020,Henrico,70-79,143,32,30
5/5/2020,Western Tidewater,20-29,28,0,0
5/5/2020,Peninsula,0-9,7,0,0
5/5/2020,Loudoun,40-49,221,14,0
5/5/2020,Pittsylvania-Danville,30-39,6,0,0
5/5/2020,Loudoun,20-29,141,3,0
5/5/2020,Crater,60-69,48,19,8
5/5/2020,Loudoun,80+,93,22,17
5/5/2020,Arlington,80+,122,33,26
5/5/2020,Virginia Beach,10-19,9,0,0
5/5/2020,Mount Rogers,80+,4,4,3
5/5/2020,Eastern Shore,80+,27,7,2
5/5/2020,Crater,10-19,8,0,0
5/5/2020,Lenowisco,30-39,3,1,1
5/5/2020,Norfolk,Missing,0,0,0
5/5/2020,Henrico,Missing,0,0,0
5/5/2020,New River,40-49,11,1,0
5/5/2020,Central Virginia,0-9,3,0,0
5/5/2020,New River,70-79,8,5,1
5/5/2020,Loudoun,0-9,23,0,0
5/5/2020,Central Virginia,70-79,13,2,0
5/5/2020,Southside,0-9,0,0,0
5/5/2020,Three Rivers,40-49,59,4,1
5/5/2020,Chickahominy,30-39,31,0,0
5/5/2020,Central Shenandoah,60-69,120,13,3
5/5/2020,Western Tidewater,60-69,84,10,3
5/5/2020,Cumberland Plateau,30-39,5,0,0
5/5/2020,Portsmouth,10-19,1,0,0
5/5/2020,Chesterfield,Missing,0,0,0
5/5/2020,Alexandria,40-49,187,17,0
5/5/2020,Thomas Jefferson,70-79,45,14,1
5/5/2020,Three Rivers,30-39,48,2,0
5/5/2020,Western Tidewater,70-79,60,15,6
5/5/2020,Arlington,60-69,163,33,9
5/5/2020,Cumberland Plateau,10-19,11,0,0
5/5/2020,West Piedmont,30-39,0,0,0
5/5/2020,Peninsula,10-19,7,1,0
5/5/2020,Lenowisco,10-19,2,0,0
5/5/2020,Chesapeake,0-9,4,1,0
5/5/2020,Peninsula,50-59,70,15,2
5/5/2020,Cumberland Plateau,Missing,0,0,0
5/5/2020,Peninsula,60-69,84,24,3
5/5/2020,Lord Fairfax,30-39,79,6,0
5/5/2020,Virginia Beach,Missing,0,0,0
5/5/2020,Arlington,40-49,181,25,2
5/5/2020,West Piedmont,10-19,2,0,0
5/5/2020,Chickahominy,70-79,24,9,3
5/5/2020,Pittsylvania-Danville,20-29,7,0,0
5/5/2020,Loudoun,50-59,204,17,1
5/5/2020,Richmond,30-39,66,4,0
5/5/2020,Thomas Jefferson,Missing,0,0,0
5/5/2020,Rappahannock Rapidan,80+,10,7,4
5/5/2020,Lord Fairfax,Missing,1,0,0
5/5/2020,Cumberland Plateau,50-59,3,1,0
5/5/2020,Loudoun,Missing,0,0,0
5/5/2020,Southside,50-59,19,3,0
5/5/2020,Chesterfield,20-29,75,3,0
5/5/2020,Norfolk,70-79,13,9,1
5/5/2020,Alleghany,10-19,2,0,0
5/5/2020,Crater,80+,17,4,0
5/5/2020,Portsmouth,Missing,0,0,0
5/5/2020,Western Tidewater,10-19,2,0,0
5/5/2020,Chesterfield,10-19,46,0,0
5/5/2020,Southside,60-69,17,6,1
5/5/2020,Norfolk,0-9,5,0,0
5/5/2020,Cumberland Plateau,40-49,4,0,0
5/5/2020,Eastern Shore,10-19,17,0,0
5/5/2020,Mount Rogers,10-19,6,0,0
5/5/2020,Rappahannock Rapidan,0-9,11,1,0
5/5/2020,Three Rivers,0-9,2,0,0
5/5/2020,Henrico,40-49,130,12,0
5/5/2020,Alexandria,50-59,131,23,7
5/5/2020,Arlington,0-9,10,1,0
5/5/2020,Chickahominy,Missing,0,0,0
5/5/2020,New River,20-29,18,0,0
5/5/2020,Virginia Beach,20-29,50,1,0
5/5/2020,Chesapeake,50-59,60,13,1
5/5/2020,Alleghany,80+,20,4,2
5/5/2020,Fairfax,10-19,148,4,0
5/5/2020,Chesapeake,60-69,45,14,3
5/5/2020,West Piedmont,Missing,0,0,0
5/5/2020,Peninsula,80+,30,20,10
5/5/2020,Crater,40-49,38,8,1
5/5/2020,Chesapeake,40-49,50,8,0
5/5/2020,Thomas Jefferson,20-29,40,0,0
5/5/2020,Lord Fairfax,20-29,86,0,0
5/5/2020,Norfolk,20-29,48,0,0
5/5/2020,Arlington,30-39,198,23,0
5/5/2020,West Piedmont,60-69,12,1,0
5/5/2020,Henrico,50-59,139,17,4
5/5/2020,West Piedmont,50-59,10,1,0
5/5/2020,Cumberland Plateau,20-29,0,0,0
5/5/2020,Alexandria,70-79,57,24,7
5/5/2020,Portsmouth,20-29,22,2,0
5/5/2020,Western Tidewater,30-39,31,1,0
