Date,Health_District,Age_Group,Cases,Hospitalized,Deaths,State
2020-07-12,West Piedmont,50-59,113,15,1,Virginia
2020-07-12,Cumberland Plateau,20-29,9,0,0,Virginia
2020-07-12,Alexandria,70-79,104,38,19,Virginia
2020-07-12,Portsmouth,20-29,161,9,0,Virginia
2020-07-12,Western Tidewater,30-39,156,10,0,Virginia
2020-07-12,Central Shenandoah,0-9,62,0,0,Virginia
2020-07-12,Henrico,80+,324,66,86,Virginia
2020-07-12,Alexandria,0-9,137,2,0,Virginia
2020-07-12,Pittsylvania-Danville,40-49,65,6,0,Virginia
2020-07-12,Henrico,20-29,416,15,0,Virginia
2020-07-12,Roanoke,60-69,39,3,0,Virginia
2020-07-12,Peninsula,30-39,255,7,1,Virginia
2020-07-12,Alleghany,60-69,68,7,1,Virginia
2020-07-12,Prince William,70-79,318,98,44,Virginia
2020-07-12,Norfolk,60-69,156,31,2,Virginia
2020-07-12,Southside,40-49,64,5,0,Virginia
2020-07-12,Chesterfield,30-39,676,11,0,Virginia
2020-07-12,Loudoun,70-79,144,46,18,Virginia
2020-07-12,Central Virginia,40-49,73,0,0,Virginia
2020-07-12,New River,Missing,0,0,0,Virginia
2020-07-12,Chickahominy,20-29,110,1,0,Virginia
2020-07-12,New River,0-9,8,0,0,Virginia
2020-07-12,Cumberland Plateau,0-9,2,0,0,Virginia
2020-07-12,Three Rivers,70-79,37,8,5,Virginia
2020-07-12,Rappahannock Rapidan,40-49,317,20,2,Virginia
2020-07-12,Hampton,0-9,20,0,0,Virginia
2020-07-12,Piedmont,50-59,201,23,1,Virginia
2020-07-12,Rappahannock,20-29,464,13,0,Virginia
2020-07-12,West Piedmont,20-29,93,1,0,Virginia
2020-07-12,Arlington,70-79,176,72,33,Virginia
2020-07-12,Chesapeake,0-9,39,1,0,Virginia
2020-07-12,Peninsula,50-59,193,21,3,Virginia
2020-07-12,Cumberland Plateau,Missing,0,0,0,Virginia
2020-07-12,Peninsula,60-69,158,29,3,Virginia
2020-07-12,Lord Fairfax,30-39,365,11,1,Virginia
2020-07-12,Virginia Beach,Missing,60,0,0,Virginia
2020-07-12,Arlington,40-49,440,49,7,Virginia
2020-07-12,West Piedmont,10-19,76,0,0,Virginia
2020-07-12,Chickahominy,70-79,60,22,7,Virginia
2020-07-12,Pittsylvania-Danville,20-29,39,0,0,Virginia
2020-07-12,Loudoun,50-59,684,59,2,Virginia
2020-07-12,Richmond,30-39,527,25,1,Virginia
2020-07-12,Thomas Jefferson,Missing,2,0,0,Virginia
2020-07-12,Rappahannock Rapidan,80+,27,15,8,Virginia
2020-07-12,Lord Fairfax,Missing,2,0,0,Virginia
2020-07-12,Cumberland Plateau,50-59,10,1,0,Virginia
2020-07-12,Loudoun,Missing,65,0,1,Virginia
2020-07-12,Southside,50-59,69,10,0,Virginia
2020-07-12,Chesterfield,20-29,586,7,0,Virginia
