State,County,Cases,Deaths,Tests,Date
NA,Calvert,103,1,NA,2020-04-15
NA,Frederick,497,29,NA,2020-04-15
NA,Montgomery,2133,70,NA,2020-04-15
NA,Prince Georges,2722,80,NA,2020-04-15
Virginia,NA,6889,208,46444,2020-04-15
NA,Arlington,453,15,NA,2020-04-15
NA,Culpeper,29,NA,NA,2020-04-15
NA,Prince William,582,12,NA,2020-04-15
NA,Alexandria,275,4,NA,2020-04-15
NA,Fairfax,1375,31,NA,2020-04-15
NA,Loudoun,378,6,NA,2020-04-15
District of Columbia,NA,2197,72,11525,2020-04-14
Maryland,NA,10032,349,55763,2020-04-14
NA,Calvert,102,1,NA,2020-04-14
NA,Frederick,442,27,NA,2020-04-14
NA,Montgomery,1933,58,NA,2020-04-14
NA,Prince Georges,2516,76,NA,2020-04-14
Virginia,NA,6500,195,44169,2020-04-14
NA,Arlington,420,14,NA,2020-04-14
NA,Culpeper,25,NA,NA,2020-04-14
NA,Prince William,536,11,NA,2020-04-14
NA,Alexandria,254,4,NA,2020-04-14
NA,Fairfax,1298,30,NA,2020-04-14
NA,Loudoun,367,6,NA,2020-04-14
District of Columbia,NA,2058,67,11518,2020-04-13
Maryland,NA,9472,302,53733,2020-04-13
NA,Calvert,99,1,NA,2020-04-13
NA,Frederick,441,14,NA,2020-04-13
NA,Montgomery,1883,54,NA,2020-04-13
NA,Prince Georges,2356,72,NA,2020-04-13
Virginia,NA,6171,154,42763,2020-04-13
NA,Arlington,401,12,NA,2020-04-13
NA,Culpeper,24,NA,NA,2020-04-13
NA,Prince William,508,10,NA,2020-04-13
NA,Alexandria,247,2,NA,2020-04-13
NA,Fairfax,1207,21,NA,2020-04-13
NA,Loudoun,344,5,NA,2020-04-13
District of Columbia,NA,1955,52,10934,2020-04-12
Maryland,NA,8936,262,51751,2020-04-12
NA,Calvert,94,1,NA,2020-04-12
NA,Frederick,417,12,NA,2020-04-12
NA,Montgomery,1756,48,NA,2020-04-12
NA,Prince Georges,2205,63,NA,2020-04-12
Virginia,NA,5747,149,41401,2020-04-12
NA,Arlington,390,11,NA,2020-04-12
NA,Culpeper,20,NA,NA,2020-04-12
NA,Prince William,434,9,NA,2020-04-12
NA,Alexandria,235,1,NA,2020-04-12
NA,Fairfax,1164,21,NA,2020-04-12
NA,Loudoun,324,5,NA,2020-04-12
District of Columbia,NA,1875,50,10640,2020-04-11
Maryland,NA,8225,235,49764,2020-04-11
NA,Calvert,90,NA,NA,2020-04-11
NA,Frederick,368,NA,NA,2020-04-11
NA,Montgomery,1631,NA,NA,2020-04-11
NA,Prince Georges,2035,NA,NA,2020-04-11
Virginia,NA,5274,141,39985,2020-04-11
NA,Arlington,366,NA,NA,2020-04-11
NA,Culpeper,19,NA,NA,2020-04-11
NA,Prince William,389,NA,NA,2020-04-11
NA,Alexandria,198,NA,NA,2020-04-11
NA,Fairfax,1008,NA,NA,2020-04-11
NA,Loudoun,309,NA,NA,2020-04-11
District of Columbia,NA,1778,47,10039,2020-04-10
Maryland,NA,7694,206,47238,2020-04-10
NA,Calvert,82,NA,NA,2020-04-10
NA,Frederick,341,NA,NA,2020-04-10
NA,Montgomery,1537,NA,NA,2020-04-10
NA,Prince Georges,1923,NA,NA,2020-04-10
Virginia,NA,5077,130,37999,2020-04-10
NA,Fairfax,946,NA,NA,2020-04-10
NA,Loudoun,296,NA,NA,2020-04-10
NA,Arlington,349,NA,NA,2020-04-10
NA,Culpeper,17,NA,NA,2020-04-10
NA,Prince William,390,NA,NA,2020-04-10
NA,Alexandria,188,NA,NA,2020-04-10
District of Columbia,NA,1660,38,9355,2020-04-09
Maryland,NA,6968,171,44448,2020-04-09
NA,Calvert,76,NA,NA,2020-04-09
NA,Frederick,289,NA,NA,2020-04-09
NA,Montgomery,1388,NA,NA,2020-04-09
NA,Prince Georges,1716,NA,NA,2020-04-09
Virginia,NA,4509,121,35459,2020-04-09
NA,Fairfax,777,NA,NA,2020-04-09
NA,Loudoun,274,NA,NA,2020-04-09
NA,Arlington,312,NA,NA,2020-04-09
NA,Culpeper,14,NA,NA,2020-04-09
NA,Prince William,337,NA,NA,2020-04-09
NA,Alexandria,174,NA,NA,2020-04-09
District of Columbia,NA,1523,32,8724,2020-04-08
Maryland,NA,6185,138,41529,2020-04-08
NA,Calvert,66,NA,NA,2020-04-08
NA,Frederick,233,NA,NA,2020-04-08
NA,Montgomery,1214,NA,NA,2020-04-08
NA,Prince Georges,1476,NA,NA,2020-04-08
Virginia,NA,4042,109,33026,2020-04-08
NA,Arlington,280,NA,NA,2020-04-08
NA,Culpeper,13,NA,NA,2020-04-08
NA,Prince William,299,NA,NA,2020-04-08
NA,Alexandria,149,NA,NA,2020-04-08
NA,Fairfax,690,NA,NA,2020-04-08
NA,Loudoun,258,NA,NA,2020-04-08
District of Columbia,NA,1440,27,8283,2020-04-07
Maryland,NA,5529,124,38462,2020-04-07
NA,Calvert,56,NA,NA,2020-04-07
NA,Frederick,199,NA,NA,2020-04-07
NA,Montgomery,1088,NA,NA,2020-04-07
NA,Prince Georges,1310,NA,NA,2020-04-07
Virginia,NA,3645,75,30645,2020-04-07
NA,Arlington,254,NA,NA,2020-04-07
NA,Culpeper,10,NA,NA,2020-04-07
NA,Prince William,263,NA,NA,2020-04-07
NA,Alexandria,143,NA,NA,2020-04-07
NA,Fairfax,570,NA,NA,2020-04-07
NA,Loudoun,238,NA,NA,2020-04-07
Maryland,NA,4371,103,31627,2020-04-06
NA,Calvert,41,NA,NA,2020-04-06
NA,Frederick,151,NA,NA,2020-04-06
NA,Montgomery,871,NA,NA,2020-04-06
NA,Prince Georges,1020,NA,NA,2020-04-06
Virginia,NA,3333,63,28645,2020-04-06
NA,Arlington,237,NA,NA,2020-04-06
NA,Culpeper,9,NA,NA,2020-04-06
NA,Prince William,236,NA,NA,2020-04-06
NA,Alexandria,126,NA,NA,2020-04-06
NA,Fairfax,532,NA,NA,2020-04-06
NA,Loudoun,209,NA,NA,2020-04-06
District of Columbia,NA,1211,22,7823,2020-04-06
Maryland,NA,4045,91,29617,2020-04-05
NA,Calvert,40,NA,NA,2020-04-05
NA,Frederick,138,NA,NA,2020-04-05
NA,Montgomery,793,NA,NA,2020-04-05
NA,Prince Georges,916,NA,NA,2020-04-05
Virginia,NA,2878,54,24521,2020-04-05
NA,Arlington,203,NA,NA,2020-04-05
NA,Culpeper,8,NA,NA,2020-04-05
NA,Prince William,193,NA,NA,2020-04-05
NA,Alexandria,93,NA,NA,2020-04-05
NA,Fairfax,488,NA,NA,2020-04-05
NA,Loudoun,188,NA,NA,2020-04-05
District of Columbia,NA,1097,24,7453,2020-04-05
Maryland,NA,3609,67,28337,2020-04-04
NA,Calvert,39,NA,NA,2020-04-04
NA,Frederick,112,NA,NA,2020-04-04
NA,Montgomery,693,NA,NA,2020-04-04
NA,Prince Georges,785,NA,NA,2020-04-04
Virginia,NA,2637,51,23671,2020-04-04
NA,Arlington,181,NA,NA,2020-04-04
NA,Culpeper,8,NA,NA,2020-04-04
NA,Prince William,175,NA,NA,2020-04-04
NA,Alexandria,74,NA,NA,2020-04-04
NA,Fairfax,426,NA,NA,2020-04-04
NA,Loudoun,167,NA,NA,2020-04-04
District of Columbia,NA,998,22,6834,2020-04-04
Maryland,NA,3125,53,25610,2020-04-03
NA,Calvert,33,NA,NA,2020-04-03
NA,Frederick,73,NA,NA,2020-04-03
NA,Montgomery,640,NA,NA,2020-04-03
NA,Prince Georges,653,NA,NA,2020-04-03
Virginia,NA,2407,52,21552,2020-04-03
NA,Arlington,150,NA,NA,2020-04-03
NA,Culpeper,8,NA,NA,2020-04-03
NA,Prince William,159,NA,NA,2020-04-03
NA,Alexandria,68,NA,NA,2020-04-03
NA,Fairfax,387,NA,NA,2020-04-03
NA,Loudoun,150,NA,NA,2020-04-03
District of Columbia,NA,902,21,6438,2020-04-03
Maryland,NA,2785,42,23690,2020-04-02
NA,Calvert,30,NA,NA,2020-04-02
NA,Frederick,54,NA,NA,2020-04-02
NA,Montgomery,566,NA,NA,2020-04-02
NA,Prince Georges,563,NA,NA,2020-04-02
Virginia,NA,2012,46,19005,2020-04-02
NA,Arlington,135,NA,NA,2020-04-02
NA,Culpeper,7,NA,NA,2020-04-02
NA,Prince William,131,NA,NA,2020-04-02
NA,Alexandria,56,NA,NA,2020-04-02
NA,Fairfax,372,NA,NA,2020-04-02
NA,Loudoun,130,NA,NA,2020-04-02
District of Columbia,NA,757,15,5584,2020-04-02
Maryland,NA,2331,36,21221,2020-04-01
NA,Calvert,22,NA,NA,2020-04-01
NA,Frederick,45,NA,NA,2020-04-01
NA,Montgomery,498,NA,NA,2020-04-01
NA,Prince Georges,473,NA,NA,2020-04-01
Virginia,NA,1706,41,17589,2020-04-01
NA,Arlington,128,NA,NA,2020-04-01
NA,Culpeper,6,NA,NA,2020-04-01
NA,Prince William,117,NA,NA,2020-04-01
NA,Alexandria,33,NA,NA,2020-04-01
NA,Fairfax,328,NA,NA,2020-04-01
NA,Loudoun,121,NA,NA,2020-04-01
District of Columbia,NA,653,12,5070,2020-04-01
Maryland,NA,1985,31,19218,2020-03-31
NA,Calvert,18,NA,NA,2020-03-31
NA,Frederick,35,NA,NA,2020-03-31
NA,Montgomery,447,NA,NA,2020-03-31
NA,Prince Georges,403,NA,NA,2020-03-31
Virginia,NA,1484,34,15344,2020-03-31
NA,Arlington,119,NA,NA,2020-03-31
NA,Culpeper,5,NA,NA,2020-03-31
NA,Prince William,106,NA,NA,2020-03-31
NA,Alexandria,32,NA,NA,2020-03-31
NA,Fairfax,288,NA,NA,2020-03-31
NA,Loudoun,105,NA,NA,2020-03-31
District of Columbia,NA,586,11,4398,2020-03-31
Maryland,NA,1660,18,16528,2020-03-30
NA,Calvert,15,NA,NA,2020-03-30
NA,Frederick,33,NA,NA,2020-03-30
NA,Montgomery,388,NA,NA,2020-03-30
NA,Prince Georges,341,NA,NA,2020-03-30
Virginia,NA,1250,27,13401,2020-03-30
NA,Arlington,104,NA,NA,2020-03-30
NA,Culpeper,3,NA,NA,2020-03-30
NA,Prince William,94,NA,NA,2020-03-30
NA,Alexandria,30,NA,NA,2020-03-30
NA,Fairfax,244,NA,NA,2020-03-30
NA,Loudoun,87,NA,NA,2020-03-30
District of Columbia,NA,495,9,3759,2020-03-30
Maryland,NA,1413,15,14729,2020-03-29
NA,Calvert,12,NA,NA,2020-03-29
NA,Frederick,26,NA,NA,2020-03-29
NA,Montgomery,341,NA,NA,2020-03-29
NA,Prince Georges,294,NA,NA,2020-03-29
Virginia,NA,1020,25,12038,2020-03-29
NA,Arlington,86,NA,NA,2020-03-29
NA,Culpeper,3,NA,NA,2020-03-29
NA,Prince William,79,NA,NA,2020-03-29
NA,Alexandria,26,NA,NA,2020-03-29
NA,Fairfax,224,NA,NA,2020-03-29
NA,Loudoun,61,NA,NA,2020-03-29
District of Columbia,NA,401,9,3085,2020-03-29
Maryland,NA,1239,10,13593,2020-03-28
NA,Calvert,10,NA,NA,2020-03-28
NA,Frederick,24,NA,NA,2020-03-28
NA,Montgomery,301,NA,NA,2020-03-28
NA,Prince Georges,247,NA,NA,2020-03-28
Virginia,NA,890,22,10609,2020-03-28
NA,Fairfax,187,NA,NA,2020-03-28
NA,Loudoun,61,NA,NA,2020-03-28
NA,Arlington,84,NA,NA,2020-03-28
NA,Culpeper,2,NA,NA,2020-03-28
NA,Prince William,72,NA,NA,2020-03-28
NA,Alexandria,25,NA,NA,2020-03-28
District of Columbia,NA,342,4,2812,2020-03-28
Maryland,NA,992,5,12508,2020-03-27
NA,Calvert,8,NA,NA,2020-03-27
NA,Frederick,22,NA,NA,2020-03-27
NA,Montgomery,255,NA,NA,2020-03-27
NA,Prince Georges,196,NA,NA,2020-03-27
Virginia,NA,739,17,9166,2020-03-27
NA,Arlington,75,NA,NA,2020-03-27
NA,Culpeper,2,NA,NA,2020-03-27
NA,Prince William,56,NA,NA,2020-03-27
NA,Alexandria,20,NA,NA,2020-03-27
NA,Fairfax,156,NA,NA,2020-03-27
NA,Loudoun,54,NA,NA,2020-03-27
District of Columbia,NA,314,4,2516,2020-03-27
Maryland,NA,774,5,NA,2020-03-26
NA,Calvert,9,NA,NA,2020-03-26
NA,Frederick,15,NA,NA,2020-03-26
NA,Montgomery,208,NA,NA,2020-03-26
NA,Prince Georges,148,NA,NA,2020-03-26
Virginia,NA,604,14,7337,2020-03-26
NA,Arlington,63,NA,NA,2020-03-26
NA,Culpeper,2,NA,NA,2020-03-26
NA,Prince William,44,NA,NA,2020-03-26
NA,Alexandria,18,NA,NA,2020-03-26
NA,Fairfax,124,NA,NA,2020-03-26
NA,Loudoun,43,NA,NA,2020-03-26
District of Columbia,NA,267,3,2166,2020-03-26
Maryland,NA,580,4,NA,2020-03-25
NA,Calvert,7,NA,NA,2020-03-25
NA,Frederick,14,NA,NA,2020-03-25
NA,Montgomery,164,NA,NA,2020-03-25
NA,Prince George's,101,NA,NA,2020-03-26
Virginia,NA,460,13,6189,2020-03-25
NA,Arlington,54,NA,NA,2020-03-25
NA,Culpeper,2,NA,NA,2020-03-25
NA,Prince William,36,NA,NA,2020-03-25
NA,Alexandria,14,NA,NA,2020-03-25
NA,Fairfax,79,NA,NA,2020-03-25
NA,Loudoun,28,NA,NA,2020-03-25
District of Columbia,NA,231,3,1858,2020-03-25
Maryland,NA,423,4,NA,2020-03-24
NA,Calvert,3,NA,NA,2020-03-24
NA,Frederick,7,NA,NA,2020-03-24
NA,Montgomery,127,NA,NA,2020-03-24
NA,Prince George's,76,NA,NA,2020-03-25
Virginia,NA,395,9,5370,2020-03-24
NA,Arlington,46,NA,NA,2020-03-24
NA,Culpeper,2,NA,NA,2020-03-24
NA,Prince William,32,NA,NA,2020-03-24
NA,Alexandria,9,NA,NA,2020-03-24
NA,Fairfax,76,NA,NA,2020-03-24
NA,Loudoun,20,NA,NA,2020-03-24
District of Columbia,NA,183,2,1609,2020-03-24
Maryland,NA,349,3,NA,2020-03-23
NA,Calvert,3,NA,NA,2020-03-23
NA,Frederick,4,NA,NA,2020-03-23
NA,Montgomery,107,NA,NA,2020-03-23
NA,Prince George's,63,NA,NA,2020-03-24
Virginia,NA,289,7,4470,2020-03-23
NA,Alexandria,8,NA,NA,2020-03-23
NA,Arlington,36,NA,NA,2020-03-23
NA,Fairfax,46,NA,NA,2020-03-23
NA,Loudoun,18,NA,NA,2020-03-23
NA,Prince William,23,NA,NA,2020-03-23
NA,Culpeper,2,NA,NA,2020-03-23
District of Columbia,NA,137,2,1334,2020-03-23
Maryland,NA,288,3,NA,2020-03-22
NA,Calvert,2,NA,NA,2020-03-22
NA,Frederick,2,NA,NA,2020-03-22
NA,Montgomery,93,NA,NA,2020-03-22
NA,Prince George's,47,NA,NA,2020-03-23
Virginia,NA,253,6,3697,2020-03-22
NA,Alexandria,6,NA,NA,2020-03-22
NA,Arlington,34,NA,NA,2020-03-22
NA,Fairfax,43,NA,NA,2020-03-22
NA,Loudoun,15,NA,NA,2020-03-22
NA,Prince William,18,NA,NA,2020-03-22
NA,Culpeper,2,NA,NA,2020-03-22
District of Columbia,NA,116,2,1229,2020-03-22
