Age_Range,Cases,Hospitalized,Deaths,State,Date
30-39,529,NA,NA,Virginia,2020-04-07
0-9,24,NA,NA,Virginia,2020-04-07
40-49,598,NA,NA,Virginia,2020-04-07
70-79,391,NA,NA,Virginia,2020-04-07
Missing,1,NA,NA,Virginia,2020-04-07
50-59,730,NA,NA,Virginia,2020-04-07
20-29,444,NA,NA,Virginia,2020-04-07
60-69,573,NA,NA,Virginia,2020-04-06
10-19,43,NA,NA,Virginia,2020-04-06
80+,232,NA,NA,Virginia,2020-04-06
30-39,483,NA,NA,Virginia,2020-04-06
0-9,25,NA,NA,Virginia,2020-04-06
40-49,543,NA,NA,Virginia,2020-04-06
70-79,361,NA,NA,Virginia,2020-04-06
Missing,1,NA,NA,Virginia,2020-04-06
50-59,660,NA,NA,Virginia,2020-04-06
20-29,412,NA,NA,Virginia,2020-04-06
60-69,499,NA,NA,Virginia,2020-04-05
10-19,38,NA,NA,Virginia,2020-04-05
80+,211,NA,NA,Virginia,2020-04-05
30-39,398,NA,NA,Virginia,2020-04-05
0-9,21,NA,NA,Virginia,2020-04-05
40-49,461,NA,NA,Virginia,2020-04-05
70-79,327,NA,NA,Virginia,2020-04-05
50-59,574,NA,NA,Virginia,2020-04-05
20-29,349,NA,NA,Virginia,2020-04-05
60-69,453,NA,NA,Virginia,2020-04-04
10-19,36,NA,NA,Virginia,2020-04-04
80+,199,NA,NA,Virginia,2020-04-04
30-39,366,NA,NA,Virginia,2020-04-04
0-9,19,NA,NA,Virginia,2020-04-04
40-49,421,NA,NA,Virginia,2020-04-04
70-79,305,NA,NA,Virginia,2020-04-04
50-59,512,NA,NA,Virginia,2020-04-04
20-29,326,NA,NA,Virginia,2020-04-04
60-69,415,NA,NA,Virginia,2020-04-03
10-19,34,NA,NA,Virginia,2020-04-03
80+,182,NA,NA,Virginia,2020-04-03
30-39,335,NA,NA,Virginia,2020-04-03
0-9,16,NA,NA,Virginia,2020-04-03
40-49,382,NA,NA,Virginia,2020-04-03
70-79,284,NA,NA,Virginia,2020-04-03
50-59,466,NA,NA,Virginia,2020-04-03
20-29,293,NA,NA,Virginia,2020-04-03
60-69,347,NA,NA,Virginia,2020-04-02
10-19,29,NA,NA,Virginia,2020-04-02
80+,135,NA,NA,Virginia,2020-04-02
30-39,276,NA,NA,Virginia,2020-04-02
0-9,15,NA,NA,Virginia,2020-04-02
40-49,322,NA,NA,Virginia,2020-04-02
70-79,235,NA,NA,Virginia,2020-04-02
Missing,1,NA,NA,Virginia,2020-04-02
50-59,393,NA,NA,Virginia,2020-04-02
20-29,259,NA,NA,Virginia,2020-04-02
60-69,289,NA,NA,Virginia,2020-04-01
10-19,26,NA,NA,Virginia,2020-04-01
80+,108,NA,NA,Virginia,2020-04-01
30-39,245,NA,NA,Virginia,2020-04-01
0-9,13,NA,NA,Virginia,2020-04-01
40-49,282,NA,NA,Virginia,2020-04-01
70-79,190,NA,NA,Virginia,2020-04-01
50-59,325,NA,NA,Virginia,2020-04-01
20-29,228,NA,NA,Virginia,2020-04-01
0-9,12,NA,NA,Virginia,2020-03-31
10-19,22,NA,NA,Virginia,2020-03-31
20-29,204,NA,NA,Virginia,2020-03-31
30-39,212,NA,NA,Virginia,2020-03-31
40-49,252,NA,NA,Virginia,2020-03-31
50-59,280,NA,NA,Virginia,2020-03-31
60-69,247,NA,NA,Virginia,2020-03-31
70-79,159,NA,NA,Virginia,2020-03-31
80+,96,NA,NA,Virginia,2020-03-31
NA,NA,NA,NA,Virginia,NA
0-9,10,NA,NA,Virginia,2020-03-30
10-19,17,NA,NA,Virginia,2020-03-30
20-29,173,NA,NA,Virginia,2020-03-30
30-39,180,NA,NA,Virginia,2020-03-30
40-49,215,NA,NA,Virginia,2020-03-30
50-59,228,NA,NA,Virginia,2020-03-30
60-69,216,NA,NA,Virginia,2020-03-30
70-79,136,NA,NA,Virginia,2020-03-30
80+,75,NA,NA,Virginia,2020-03-30
0-9,7,NA,NA,Virginia,2020-03-29
10-19,12,NA,NA,Virginia,2020-03-29
20-29,149,NA,NA,Virginia,2020-03-29
30-39,145,NA,NA,Virginia,2020-03-29
40-49,176,NA,NA,Virginia,2020-03-29
50-59,184,NA,NA,Virginia,2020-03-29
60-69,175,NA,NA,Virginia,2020-03-29
70-79,111,NA,NA,Virginia,2020-03-29
80+,61,NA,NA,Virginia,2020-03-29
0-9,7,NA,NA,Virginia,2020-03-28
10-19,12,NA,NA,Virginia,2020-03-28
20-29,135,NA,NA,Virginia,2020-03-28
30-39,131,NA,NA,Virginia,2020-03-28
40-49,150,NA,NA,Virginia,2020-03-28
50-59,158,NA,NA,Virginia,2020-03-28
60-69,151,NA,NA,Virginia,2020-03-28
70-79,99,NA,NA,Virginia,2020-03-28
80+,47,NA,NA,Virginia,2020-03-28
0-9,7,NA,NA,Virginia,2020-03-27
10-19,10,NA,NA,Virginia,2020-03-27
20-29,122,NA,NA,Virginia,2020-03-27
30-39,113,NA,NA,Virginia,2020-03-27
40-49,122,NA,NA,Virginia,2020-03-27
50-59,134,NA,NA,Virginia,2020-03-27
60-69,116,NA,NA,Virginia,2020-03-27
70-79,81,NA,NA,Virginia,2020-03-27
80+,34,NA,NA,Virginia,2020-03-27
